name,address,price,latitude,longitude
Mobil,"14493 Culver Dr, Irvine, CA",$4.53,33.70496323713,-117.787542385539
Shell,"3720 Barranca Pkwy, Irvine, CA",$4.69,33.686434345801,-117.813378903679
Mobil,"3765 Alton Pkwy, Irvine, CA",$4.79,33.682433790703,-117.814430880314
Chevron,"80 Corporate Park, Irvine, CA",$4.89,33.692087949532,-117.82588699715
Chevron,"30072 Crown Valley Pkwy, Laguna Niguel, CA",$4.55,33.526292520352,-117.711536775368
Shell,"30011 Crown Valley Pkwy, Laguna Niguel, CA",$4.39,33.528100201618,-117.709666489238
ARCO,"30081 Crown Valley Pkwy, Laguna Niguel, CA",$4.09,33.525060192316,-117.713515731612
Mobil,"30061 Alicia Pkwy, Laguna Niguel, CA",$4.59,33.526751975831,-117.71678067427
Shell,"28922 Golden Lantern St, Laguna Niguel, CA",,33.543055381355,-117.691498924686
Shell,"27882 Aliso Creek Rd, Aliso Viejo, CA",$4.59,33.55779212468,-117.723897987033
ARCO,"27491 La Paz Rd, Laguna Niguel, CA",,33.564687372615,-117.707875967516
Mobil,"27430 Alicia Pkwy, Laguna Niguel, CA",$4.39,33.564371446041,-117.715581144175
76,"32611 Niguel Rd, Dana Point, CA",,33.489422280154,-117.711582330851
Chevron,"28692 Camino Capistrano, San Juan Capistrano, CA",,33.546921576094,-117.674087269443
ARCO,"28662 Camino Capistrano, Laguna Niguel, CA",$4.69,33.547471464827,-117.674082202168
Costco,"27220 Heather Ridge Rd, Laguna Niguel, CA",$4.24,33.569206856909,-117.711786673636
Chevron,"26571 Junipero Serra Rd, San Juan Capistrano, CA",$4.99,33.519985467657,-117.668301496526
76,"26572 Junipero Serra Rd, San Juan Capistrano, CA",,33.519870876273,-117.668291642079
Costco,"27972 Cabot Rd, Laguna Niguel, CA",$4.19,33.556928559802,-117.678888496784
Shell,"27055 Aliso Creek Rd, Aliso Viejo, CA",$4.49,33.56982335967,-117.723282784404
Sinclair,"24281 Pacific Park Dr, Aliso Viejo, CA",,33.570077136552,-117.706172497868
Chevron,"32842 Pacific Coast Hwy, Dana Point, CA",$4.39,33.484556856338,-117.724253879279
Mobil,"26996 La Paz Rd, Aliso Viejo, CA",$5.09,33.571055774983,-117.707429895924
7-Eleven,"26731 Portola Pkwy, Foothill Ranch, CA",$4.29,33.680845783303,-117.664767459234
Mobil,"27252 Portola Pkwy, Foothill Ranch, CA",$4.55,33.67304326987,-117.655045752496
Speedway,"5333 University Dr, Irvine, CA",$4.59,33.658315831275,-117.803301523771
Culver Auto Spa,"18011 Culver Dr, Irvine, CA",$4.79,33.665484887773,-117.826748934478
Chevron,"18002 Culver Dr, Irvine, CA",$4.89,33.66544879134,-117.826399240271
Shell,"4601 Campus Dr, Irvine, CA",,33.649037277204,-117.830084369747
Chevron,"18692 MacArthur Blvd, Irvine, CA",,33.676774470699,-117.86084176242
Shell,"3090 Main St, Irvine, CA",$4.69,33.678597340573,-117.834192374463
Shell,"32001 Camino Capistrano, San Juan Capistrano, CA",$4.87,33.497984568711,-117.662692631541
Chevron,"27101 Ortega Hwy, San Juan Capistrano, CA",$4.79,33.502778613776,-117.657855721517
76,"26572 Junipero Serra Rd, San Juan Capistrano, CA",,33.519870876273,-117.668291642079
Chevron,"26571 Junipero Serra Rd, San Juan Capistrano, CA",$4.99,33.519985467657,-117.668301496526
Mobil,"33571 Del Obispo St, Dana Point, CA",$4.65,33.475240339081,-117.685093462067
Valero,"34131 Doheny Park Rd, Capistrano Beach, CA",$4.73,33.466447745692,-117.677575330257
Doheny Village Car Wash,"34241 Doheny Park Rd, Capistrano Beach, CA",,33.465653148074,-117.67828376794
76,"606 Camino De Los Mares, San Clemente, CA",$4.79,33.459940757071,-117.653646921396
Chevron,"28692 Camino Capistrano, San Juan Capistrano, CA",,33.546921576094,-117.674087269443
Shell,"590 Camino de Estrella, San Clemente, CA",$4.81,33.458178032707,-117.656496309899
ARCO,"28662 Camino Capistrano, Laguna Niguel, CA",$4.69,33.547471464827,-117.674082202168
ARCO,"34342 Pacific Coast Hwy, Dana Point, CA",$4.25,33.464544627563,-117.685026844263
Chevron,"34306 Pacific Coast Hwy, Dana Point, CA",$4.79,33.465350395799,-117.687954387081
Shell,"28922 Golden Lantern St, Laguna Niguel, CA",,33.543055381355,-117.691498924686
76,"32611 Niguel Rd, Dana Point, CA",,33.489422280154,-117.711582330851
Chevron,"30072 Crown Valley Pkwy, Laguna Niguel, CA",$4.55,33.526292520352,-117.711536775368
Shell,"30011 Crown Valley Pkwy, Laguna Niguel, CA",$4.39,33.528100201618,-117.709666489238
Chevron,"34164 Pacific Coast Hwy, Dana Point, CA",$4.79,33.467181959856,-117.699103236931
Shell,"4601 Campus Dr, Irvine, CA",,33.649037277204,-117.830084369747
Chevron,"18002 Culver Dr, Irvine, CA",$4.89,33.66544879134,-117.826399240271
Culver Auto Spa,"18011 Culver Dr, Irvine, CA",$4.79,33.665484887773,-117.826748934478
76,"2690 San Miguel Dr, Newport Beach, CA",$4.69,33.626738723895,-117.850309818735
Speedway,"5333 University Dr, Irvine, CA",$4.59,33.658315831275,-117.803301523771
Chevron,"1240 Bison Ave, Newport Beach, CA",$4.89,33.637658893349,-117.863584556095
Shell,"3090 Main St, Irvine, CA",$4.69,33.678597340573,-117.834192374463
Chevron,"18692 MacArthur Blvd, Irvine, CA",,33.676774470699,-117.86084176242
ARCO,"2100 SE Bristol St, Newport Beach, CA",$4.25,33.660889714701,-117.87391769575
Mobil,"3765 Alton Pkwy, Irvine, CA",$4.79,33.682433790703,-117.814430880314
Shell,"3720 Barranca Pkwy, Irvine, CA",$4.69,33.686434345801,-117.813378903679
Chevron,"5425 Alton Pkwy, Irvine, CA",$4.89,33.670502388258,-117.789478919334
Mobil,"5793 Alton Pkwy, Irvine, CA",$4.99,33.668173475292,-117.785089396128
Shell,"1512 SE Bristol St, Costa Mesa, CA",$4.49,33.666254506603,-117.881628987219
Shell,"1600 Jamboree Rd, Newport Beach, CA",$4.57,33.625735378268,-117.878453707627
Chevron,"80 Corporate Park, Irvine, CA",$4.89,33.692087949532,-117.82588699715
ARCO,"6501 Quail Hill Pkwy, Irvine, CA",,33.652889222804,-117.777229985071
7-Eleven,"8693 Irvine Center Dr, Irvine, CA",$4.19,33.642620524233,-117.743424013266
Chevron,"16221 Lake Forest Dr, Irvine, CA",$4.79,33.629008934221,-117.725660398394
Mobil,"5793 Alton Pkwy, Irvine, CA",$4.99,33.668173475292,-117.785089396128
76,"14886 Sand Canyon Ave, Irvine, CA",$5.27,33.678134786282,-117.757866984303
Chevron,"24571 Trabuco Rd, Lake Forest, CA",$4.49,33.65449394035,-117.70115297425
Chevron,"6320 Irvine Blvd, Irvine, CA",$4.89,33.699475161142,-117.739808318919
76,"14886 Sand Canyon Ave, Irvine, CA",$5.27,33.678134786282,-117.757866984303
7-Eleven,"8693 Irvine Center Dr, Irvine, CA",$4.19,33.642620524233,-117.743424013266
Mobil,"21721 Lake Forest Dr, Lake Forest, CA",$4.89,33.647262111365,-117.685688268295
Shell,"21762 Lake Forest Dr, Lake Forest, CA",$4.39,33.646143094755,-117.687400182394
Chevron,"20731 Lake Forest Dr, Lake Forest, CA",$4.59,33.661273672359,-117.668428139433
Chevron,"23631 Rockfield Blvd, Lake Forest, CA",$4.79,33.630389120303,-117.717650295653
Shell,"26721 Rancho Pkwy, Lake Forest, CA",$4.35,33.672845004108,-117.665964528399
Chevron,"16221 Lake Forest Dr, Irvine, CA",$4.79,33.629008934221,-117.725660398394
Grab-N-Go,"20572 Lake Forest Dr, Lake Forest, CA",$4.19,33.663321891488,-117.66669070168
Shell,"23652 Rockfield Blvd, Lake Forest, CA",$4.65,33.629035598492,-117.716879842239
ARCO,"14111 Jeffrey Rd, Irvine, CA",$4.89,33.695034146258,-117.763499457979
Shell,"23038 Lake Forest Dr, Laguna Hills, CA",$4.65,33.628938709413,-117.726058005122
7-Eleven,"26731 Portola Pkwy, Foothill Ranch, CA",$4.29,33.680845783303,-117.664767459234
Ralphs,"22391 El Toro Rd, Lake Forest, CA",$4.25,33.637229227293,-117.67983301582
Mobil,"22381 El Toro Rd, Lake Forest, CA",$4.29,33.637375537677,-117.679645542283
76,"4760 Irvine Blvd, Irvine, CA",$4.29,33.713727282292,-117.760391056758
Chevron,"6320 Irvine Blvd, Irvine, CA",$4.89,33.699475161142,-117.739808318919
ARCO,"14111 Jeffrey Rd, Irvine, CA",$4.89,33.695034146258,-117.763499457979
Shell,"3720 Barranca Pkwy, Irvine, CA",$4.69,33.686434345801,-117.813378903679
Chevron,"80 Corporate Park, Irvine, CA",$4.89,33.692087949532,-117.82588699715
Mobil,"3765 Alton Pkwy, Irvine, CA",$4.79,33.682433790703,-117.814430880314
Chevron,"15425 Culver Dr, Irvine, CA",$4.89,33.694398761371,-117.798071270612
76,"3017 Edinger Ave, Tustin, CA",$4.49,33.707030775649,-117.807081979429
Mobil,"14493 Culver Dr, Irvine, CA",$4.53,33.70496323713,-117.787542385539
Shell,"3090 Main St, Irvine, CA",$4.69,33.678597340573,-117.834192374463
Chevron,"14446 Culver Dr, Irvine, CA",$4.59,33.705317541806,-117.786760113491
Chevron,"5425 Alton Pkwy, Irvine, CA",$4.89,33.670502388258,-117.789478919334
Chevron,"18002 Culver Dr, Irvine, CA",$4.89,33.66544879134,-117.826399240271
Culver Auto Spa,"18011 Culver Dr, Irvine, CA",$4.79,33.665484887773,-117.826748934478
Mobil,"5793 Alton Pkwy, Irvine, CA",$4.99,33.668173475292,-117.785089396128
ARCO,"1727 E Dyer Rd, Santa Ana, CA",$4.09,33.708639879165,-117.848759917953
7-Eleven,"1700 E Dyer Rd, Santa Ana, CA",$4.05,33.708428740924,-117.850420409109
Berri Brothers,"14501 Red Hill Ave, Tustin, CA",$3.87,33.726523932556,-117.822504832042
Valero,"34131 Doheny Park Rd, Capistrano Beach, CA",$4.73,33.466447745692,-117.677575330257
Doheny Village Car Wash,"34241 Doheny Park Rd, Capistrano Beach, CA",,33.465653148074,-117.67828376794
Corona del Mar Gas,"2201 E Coast Hwy, Corona del Mar, CA",$4.59,32.968033251818,-117.267686102348
Mobil,"2500 San Joaquin Hills Rd, Corona del Mar, CA",,33.610636544376,-117.864595823352
76,"3400 E Coast Hwy, Corona del Mar, CA",$4.43,33.595694241159,-117.870042315411
Sinclair,"2502 Harbor Blvd, Costa Mesa, CA",$3.99,33.663366385608,-117.919021995504
ARCO,"3201 Harbor Blvd, Costa Mesa, CA",$3.99,33.687088462393,-117.919559755116
Speedway,"751 Baker St, Costa Mesa, CA",$4.09,33.680061870045,-117.8878392555
G&M,"3067 Bristol St, Costa Mesa, CA",$4.19,33.682824557777,-117.88572238528
ARCO,"2490 Fairview Rd, Costa Mesa, CA",$4.15,33.663755212503,-117.90747906089
76,"1195 Baker St, Costa Mesa, CA",$4.29,33.680110881188,-117.907437240749
Mobil,"3006 Harbor Blvd, Costa Mesa, CA",$4.35,33.682145015015,-117.919173266674
Shell,"1201 Baker St, Costa Mesa, CA",$4.29,33.680114133704,-117.907916098907
Shell,"1512 SE Bristol St, Costa Mesa, CA",$4.49,33.666254506603,-117.881628987219
Chevron,"2995 Bristol St, Costa Mesa, CA",$4.69,33.679902146343,-117.885751495408
